route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
160185,25553228,25553228,,,,160185
160185,25553248,25553248,,,,160185
160185,25553268,25553268,,,,160185
160185,25553168,25553168,,,,160185
160185,25553288,25553288,,,,160185
160185,25553308,25553308,,,,160185
160185,25553708,25553708,,,,160185
160185,25553768,25553768,,,,160185
160185,25553448,25553448,,,,160185
160185,25553508,25553508,,,,160185
160185,25553368,25553368,,,,160185
160185,25553388,25553388,,,,160185
160185,25553668,25553668,,,,160185
160185,25553548,25553548,,,,160185
160185,25553328,25553328,,,,160185
160185,25553208,25553208,,,,160185
160185,25553408,25553408,,,,160185
160185,25553528,25553528,,,,160185
160185,25553488,25553488,,,,160185
160185,25553468,25553468,,,,160185
160185,25553428,25553428,,,,160185
160185,25553348,25553348,,,,160185
160185,25553688,25553688,,,,160185
160185,25553728,25553728,,,,160185
160185,25553568,25553568,,,,160185
160185,25553588,25553588,,,,160185
160185,25553608,25553608,,,,160185
160185,25553628,25553628,,,,160185
160185,25553648,25553648,,,,160185
160185,25553748,25553748,,,,160185
160221,25719994,25719994,,,,160221
160221,25720014,25720014,,,,160221
160221,25721257,25721257,,,,160221
160221,25721260,25721260,,,,160221
160221,25721263,25721263,,,,160221
160221,25720034,25720034,,,,160221
160221,25720054,25720054,,,,160221
160221,25721272,25721272,,,,160221
160221,25721269,25721269,,,,160221
160221,25719237,25719237,,,,160221
160221,25721275,25721275,,,,160221
160221,25721220,25721220,,,,160221
160221,25720074,25720074,,,,160221
160221,25720094,25720094,,,,160221
160221,25719242,25719242,,,,160221
160221,25721221,25721221,,,,160221
160221,25721223,25721223,,,,160221
160221,25720114,25720114,,,,160221
160221,25720134,25720134,,,,160221
160221,25720154,25720154,,,,160221
160221,25720174,25720174,,,,160221
160221,25719247,25719247,,,,160221
160221,25721222,25721222,,,,160221
160221,25721266,25721266,,,,160221
160221,25721278,25721278,,,,160221
160221,25719252,25719252,,,,160221
160221,25720494,25720494,,,,160221
160221,25720514,25720514,,,,160221
160221,25720534,25720534,,,,160221
160221,25720354,25720354,,,,160221
160221,25720434,25720434,,,,160221
160221,25720314,25720314,,,,160221
160221,25720634,25720634,,,,160221
160221,25720654,25720654,,,,160221
160221,25720714,25720714,,,,160221
160221,25720194,25720194,,,,160221
160221,25720214,25720214,,,,160221
160221,25720834,25720834,,,,160221
160221,25721281,25721281,,,,160221
160221,25719257,25719257,,,,160221
160221,25721224,25721224,,,,160221
160221,25721227,25721227,,,,160221
160221,25721237,25721237,,,,160221
160221,25721235,25721235,,,,160221
160221,25721240,25721240,,,,160221
160221,25720234,25720234,,,,160221
160221,25720254,25720254,,,,160221
